word	pos	zh	category	en	cn
congestion	n.	拥堵	城市与交通	Reliable bus services can reduce traffic congestion.	可靠的公交服务可以减少交通拥堵。
commute	v.	通勤	城市与交通	Many employees commute from smaller towns to the city centre.	许多员工从小城镇通勤到市中心。
pedestrian	n.	行人	城市与交通	The new crossing gives each pedestrian more time to cross safely.	新的人行横道让每位行人都有更多时间安全过街。
affordable	adj.	负担得起的	城市与交通	Affordable housing allows essential workers to live near their jobs.	可负担的住房使关键服务行业的工作人员能够住在工作地点附近。
sanitation	n.	卫生设施；环境卫生	健康与生活	Improved sanitation can prevent the spread of disease.	改善卫生设施可以防止疾病传播。
nutrition	n.	营养	健康与生活	Good nutrition supports children's physical and mental development.	良好的营养有助于儿童的身心发展。
sedentary	adj.	久坐的	健康与生活	A sedentary lifestyle can increase the risk of health problems.	久坐的生活方式可能增加出现健康问题的风险。
obesity	n.	肥胖	健康与生活	Preventing childhood obesity requires action at home and at school.	预防儿童肥胖需要家庭和学校共同采取行动。
preventive	adj.	预防性的	健康与生活	Preventive care can reduce the need for expensive treatment later.	预防性保健可以减少日后对昂贵治疗的需求。
wellbeing	n.	健康与幸福	健康与生活	Access to green spaces can improve residents' wellbeing.	能够使用绿地可以改善居民的身心健康。
economic	adj.	经济的	经济与工作	Economic growth does not always reduce social inequality.	经济增长并不总能减少社会不平等。
administration	n.	管理；行政	社会与政策	Efficient administration can reduce delays in public services.	高效的行政管理可以减少公共服务中的延误。
congress	n.	代表大会；国会	社会与政策	The international congress brought together researchers from many countries.	这次国际大会汇集了来自许多国家的研究人员。
behaviour	n.	行为	社会与政策	Advertising can influence consumer behaviour in subtle ways.	广告可以以微妙的方式影响消费者行为。
agency	n.	机构；代理处	社会与政策	The environmental agency monitors air quality across the region.	环境机构监测整个地区的空气质量。
significant	adj.	显著的；重要的	学术与论证	The study found a significant difference between the groups.	研究发现这些群体之间存在显著差异。
establish	v.	建立；确立	社会与政策	Local organisations can establish networks to support new residents.	地方组织可以建立网络来支持新居民。
trial	n.	试验	科技与研究	The clinical trial will assess the treatment's effectiveness.	这项临床试验将评估治疗的有效性。
institution	n.	机构；制度	教育与学习	Each institution sets its own requirements for admission.	每所机构都制定自己的入学要求。
tough	adj.	艰难的；坚韧的	经济与工作	Small businesses face tough competition from international companies.	小企业面临来自国际公司的激烈竞争。
consumer	n.	消费者	经济与工作	Better product information helps the consumer make informed choices.	更好的产品信息帮助消费者作出明智的选择。
assume	v.	假定；认为	学术与论证	We cannot assume that all participants have internet access.	我们不能假定所有参与者都能上网。
eventually	adv.	最终	环境与能源	Untreated waste may eventually reach the ocean.	未经处理的废物最终可能进入海洋。
recall	v.	回想；召回	教育与学习	Regular practice helps learners recall new vocabulary.	定期练习帮助学习者回想起新词汇。
species	n.	物种	环境与能源	Several species depend on this wetland for survival.	若干物种依靠这片湿地生存。
potential	n.	潜力	科技与研究	The technology has the potential to reduce energy costs.	这项技术具有降低能源成本的潜力。
contract	n.	合同	经济与工作	The contract clearly defines each partner's responsibilities.	合同明确规定了每位合作伙伴的责任。
previous	adj.	先前的	学术与论证	The findings are consistent with previous research.	这些发现与先前的研究一致。
deliver	v.	提供；递送	社会与政策	Local partnerships can deliver better services at lower cost.	地方合作可以以更低成本提供更好的服务。
facility	n.	设施	城市与交通	The new facility will process household waste safely.	新设施将安全处理生活垃圾。
emerge	v.	出现	科技与研究	New patterns may emerge as more data become available.	随着更多数据可用，新的模式可能出现。
basis	n.	基础；依据	学术与论证	Reliable evidence forms the basis of a strong argument.	可靠的证据构成有力论证的基础。
contribute	v.	贡献；促成	环境与能源	Private gardens can contribute to urban biodiversity.	私人花园可以促进城市生物多样性。
identity	n.	身份；认同	文化与交流	Language plays an important role in cultural identity.	语言在文化认同中发挥重要作用。
promote	v.	促进；推广	健康与生活	Public campaigns can promote healthier eating habits.	公共宣传活动可以促进更健康的饮食习惯。
annual	adj.	每年的	经济与工作	The annual report includes details of environmental performance.	年度报告包含环境表现的详细信息。
demonstrate	v.	证明；展示	学术与论证	These results demonstrate the value of early intervention.	这些结果证明了早期干预的价值。
engage	v.	参与；吸引	教育与学习	Practical activities can engage students in scientific learning.	实践活动可以吸引学生参与科学学习。
perspective	n.	观点；视角	学术与论证	International experience can offer a different perspective on education.	国际经验可以提供不同的教育视角。
extend	v.	延长；扩展	城市与交通	The city plans to extend the railway network.	该城市计划扩展铁路网络。
combine	v.	结合	教育与学习	Effective courses combine theoretical knowledge with practical experience.	有效的课程将理论知识与实践经验相结合。
category	n.	类别	学术与论证	Each response was placed in a separate category.	每项回答都被归入一个单独的类别。
appropriate	adj.	适当的	学术与论证	Researchers must choose an appropriate method for each question.	研究人员必须为每个问题选择适当的方法。
domestic	adj.	国内的；家庭的	经济与工作	Domestic demand can support growth when exports decline.	当出口下降时，国内需求可以支持增长。
expand	v.	扩大	经济与工作	The programme aims to expand opportunities for young entrepreneurs.	该项目旨在扩大年轻创业者的机会。
corporate	adj.	公司的；企业的	经济与工作	Corporate decisions can have lasting effects on local communities.	企业决策可能对当地社区产生持久影响。
explore	v.	探索；探讨	科技与研究	The study will explore alternatives to conventional packaging.	该研究将探索传统包装的替代方案。
panel	n.	专家小组；面板	学术与论证	An independent panel reviewed the evidence before making recommendations.	一个独立专家小组在提出建议之前审查了证据。
commitment	n.	承诺；投入	社会与政策	Long-term progress requires a commitment to fair access.	长期进步需要致力于公平获取机会。
regional	adj.	地区的	经济与工作	Regional cooperation can improve transport links and trade.	区域合作可以改善交通联系和贸易。
shift	n.	转变	经济与工作	The shift towards remote work has changed office demand.	向远程工作的转变改变了对办公空间的需求。
trend	n.	趋势	学术与论证	The graph shows a steady upward trend in demand.	图表显示需求呈稳定上升趋势。
profit	n.	利润	经济与工作	The company reinvests part of its profit in research.	公司将部分利润重新投入研究。
notion	n.	观念；想法	学术与论证	The evidence challenges the notion that growth benefits everyone equally.	证据对增长使所有人平等受益的观念提出了质疑。
capture	v.	捕捉；记录	科技与研究	The survey cannot capture every aspect of student experience.	这项调查无法记录学生体验的每个方面。
internal	adj.	内部的	经济与工作	An internal review identified problems with staff communication.	一次内部审查发现了员工沟通方面的问题。
ethnic	adj.	民族的；族群的	文化与交流	The festival celebrates the region's ethnic and cultural diversity.	这个节日庆祝该地区的族群和文化多样性。
contrast	n.	对比；差异	学术与论证	There is a clear contrast between urban and rural services.	城市与农村的服务存在明显差异。
ultimately	adv.	最终；归根结底	学术与论证	The policy's success ultimately depends on public participation.	该政策的成功最终取决于公众参与。
contribution	n.	贡献	科技与研究	Her contribution helped the team develop a cheaper solution.	她的贡献帮助团队开发了成本更低的解决方案。
estate	n.	地产；住宅区	城市与交通	The housing estate includes shared gardens and a community centre.	这个住宅区设有共享花园和社区中心。
circumstance	n.	情况；条件	学术与论证	A change in circumstance may require a different response.	情况的变化可能需要不同的应对方式。
percentage	n.	百分比	学术与论证	The percentage of households with internet access increased steadily.	拥有互联网接入的家庭百分比稳步上升。
relief	n.	缓解；救济	社会与政策	Emergency relief provides food and shelter after natural disasters.	紧急救济在自然灾害后提供食物和住所。
gender	n.	性别	社会与政策	The report examines gender differences in employment opportunities.	报告研究了就业机会中的性别差异。
landscape	n.	景观；形势	环境与能源	New roads can permanently alter a rural landscape.	新道路可能永久改变乡村景观。
confirm	v.	确认；证实	学术与论证	Further studies are needed to confirm these findings.	需要进一步研究来证实这些发现。
perception	n.	看法；感知	文化与交流	Media coverage can influence public perception of scientific risks.	媒体报道可以影响公众对科学风险的看法。
coverage	n.	报道；覆盖范围	文化与交流	Balanced coverage helps readers understand different viewpoints.	平衡的报道帮助读者理解不同观点。
requirement	n.	要求	教育与学习	Practical experience is a requirement for this qualification.	实践经验是获得这项资格的要求。
intervention	n.	干预	健康与生活	Early intervention can prevent minor problems from becoming serious.	早期干预可以防止小问题变得严重。
overall	adj.	总体的	学术与论证	The overall impact depends on how the policy is implemented.	总体影响取决于政策如何实施。
initial	adj.	最初的	学术与论证	Initial results suggest that the new method saves time.	最初的结果表明新方法可以节省时间。
contemporary	adj.	当代的	文化与交流	The museum displays contemporary art alongside traditional crafts.	这家博物馆同时展示当代艺术和传统手工艺。
faculty	n.	院系；全体教师	教育与学习	The engineering faculty offers several courses on renewable energy.	工程学院开设了几门可再生能源课程。
massive	adj.	巨大的	城市与交通	The railway project requires massive investment in infrastructure.	铁路项目需要对基础设施进行巨额投资。
invest	v.	投资	经济与工作	Companies should invest in training as well as equipment.	企业应同时投资于培训和设备。
expose	v.	使接触；揭露	教育与学习	Exchange programmes expose students to different ways of life.	交流项目使学生接触不同的生活方式。
rural	adj.	农村的	城市与交通	Reliable internet access can improve opportunities in rural areas.	可靠的互联网接入可以改善农村地区的机会。
assess	v.	评估	学术与论证	The survey will assess public satisfaction with local services.	该调查将评估公众对当地服务的满意度。
virtually	adv.	几乎	科技与研究	The new system requires virtually no manual data entry.	新系统几乎不需要手动输入数据。
acquire	v.	获得；习得	教育与学习	Students acquire useful skills through supervised practical work.	学生通过有指导的实践工作获得实用技能。
technical	adj.	技术的	科技与研究	Technical knowledge alone does not guarantee effective teamwork.	仅有技术知识不能保证有效的团队合作。
immigrant	n.	移民	社会与政策	Each immigrant brings skills and experiences to the community.	每位移民都为社区带来技能和经验。
depression	n.	抑郁；萧条	健康与生活	Social support can help people cope with depression.	社会支持可以帮助人们应对抑郁。
creation	n.	创造；创建	经济与工作	Investment in local businesses supports the creation of jobs.	对当地企业的投资支持就业岗位的创造。
dramatic	adj.	显著的；剧烈的	学术与论证	The chart shows a dramatic increase in online sales.	图表显示线上销售额显著增加。
agenda	n.	议程	社会与政策	Affordable housing is high on the council's agenda.	可负担住房是市政委员会议程中的重点。
selection	n.	选择；筛选	教育与学习	The selection process should be fair and transparent.	筛选过程应当公平且透明。
initiative	n.	倡议；主动性	社会与政策	The initiative encourages residents to share tools and equipment.	这项倡议鼓励居民共享工具和设备。
therapy	n.	治疗	健康与生活	Regular therapy can help patients regain physical strength.	定期治疗可以帮助患者恢复体力。
visual	adj.	视觉的	教育与学习	Visual examples can make complex ideas easier to understand.	视觉示例可以使复杂概念更容易理解。
perceive	v.	感知；认为	社会与政策	People may perceive the same risk in different ways.	人们可能以不同方式看待同一种风险。
settlement	n.	定居点；解决	城市与交通	The settlement developed near a reliable source of water.	这个定居点在可靠的水源附近发展起来。
transform	v.	改变；转变	科技与研究	Affordable technology can transform access to medical advice.	价格可负担的技术可以改变人们获得医疗建议的方式。
consist	v.	由……组成	教育与学习	The course will consist of lectures and practical workshops.	该课程将由讲座和实践研讨课组成。
resistance	n.	抵抗；阻力	社会与政策	Public resistance delayed the introduction of the new charges.	公众的反对推迟了新收费的实施。
exposure	n.	接触；暴露	健康与生活	Prolonged exposure to noise can affect concentration.	长期接触噪音可能影响注意力。
coalition	n.	联盟	社会与政策	A coalition of local groups proposed a recycling scheme.	一个地方团体联盟提出了一项回收计划。
symptom	n.	症状	健康与生活	Persistent tiredness can be a symptom of poor sleep.	持续疲劳可能是睡眠不佳的症状。
numerous	adj.	众多的	学术与论证	Numerous studies have examined the benefits of regular exercise.	众多研究考察了定期运动的益处。
moreover	adv.	此外；而且	学术与论证	The service is affordable; moreover, it is easy to use.	这项服务价格可负担，而且使用方便。
intense	adj.	强烈的	经济与工作	Intense competition encourages firms to improve product quality.	激烈的竞争促使企业提高产品质量。
inspire	v.	激励；启发	教育与学习	Practical demonstrations can inspire an interest in science.	实践演示可以激发人们对科学的兴趣。
adjust	v.	调整	经济与工作	Employers can adjust working hours to support parents.	雇主可以调整工作时间来支持有孩子的员工。
visible	adj.	可见的；明显的	环境与能源	The benefits of restoration are already visible along the river.	修复工作的益处在河流沿岸已经显现。
dominate	v.	占主导地位	经济与工作	A few large companies dominate the domestic market.	少数大型企业主导着国内市场。
transfer	v.	转移；转让	科技与研究	Universities can transfer useful knowledge to local businesses.	大学可以向当地企业传递实用知识。
prospect	n.	前景；可能性	经济与工作	The prospect of stable employment attracts young graduates.	稳定就业的前景吸引着年轻毕业生。
severe	adj.	严重的	环境与能源	Severe drought can damage crops and reduce food supplies.	严重干旱可能损害农作物并减少食物供应。
enhance	v.	提高；增强	教育与学习	Constructive feedback can enhance the quality of student writing.	建设性的反馈可以提高学生写作的质量。
impose	v.	实施；强加	社会与政策	The council may impose restrictions on traffic near schools.	市政委员会可能对学校附近的交通实施限制。
illustrate	v.	说明；阐明	学术与论证	These examples illustrate how culture influences communication.	这些例子说明文化如何影响沟通。
psychological	adj.	心理的	健康与生活	Long working hours can create psychological pressure.	长时间工作可能造成心理压力。
disorder	n.	紊乱；疾病	健康与生活	A sleep disorder can affect memory and concentration.	睡眠障碍可能影响记忆力和注意力。
distribution	n.	分配；分布	社会与政策	The map shows the distribution of public libraries.	地图显示了公共图书馆的分布。
transportation	n.	运输	城市与交通	Efficient transportation reduces the cost of delivering fresh food.	高效运输降低了配送新鲜食品的成本。
commission	n.	委员会；佣金	社会与政策	The commission recommended changes to the planning process.	委员会建议改变规划流程。
veteran	n.	经验丰富的人	经济与工作	An industry veteran can offer practical advice to new entrepreneurs.	行业资深人士可以为新创业者提供实用建议。
crucial	adj.	至关重要的	学术与论证	Public trust is crucial to the success of vaccination programmes.	公众信任对疫苗接种项目的成功至关重要。
confront	v.	面对；处理	社会与政策	Governments must confront the causes of persistent inequality.	政府必须面对持续不平等的成因。
dimension	n.	方面；维度	学术与论证	The report explores the social dimension of economic change.	报告探讨了经济变化的社会层面。
publication	n.	出版；出版物	学术与论证	The findings were reviewed carefully before publication.	研究结果在发表前经过了仔细审查。
anxiety	n.	焦虑	健康与生活	Clear information can reduce anxiety before a medical procedure.	清晰的信息可以减少医疗操作前的焦虑。
convention	n.	惯例；大会	文化与交流	Academic writing follows a convention of acknowledging sources.	学术写作遵循注明来源的惯例。
embrace	v.	接受；拥抱	科技与研究	Businesses must embrace change while protecting customer privacy.	企业必须在保护客户隐私的同时接受变化。
exhibition	n.	展览	文化与交流	The exhibition explores the relationship between technology and art.	展览探讨了技术与艺术之间的关系。
consultant	n.	顾问	经济与工作	The consultant proposed a more efficient delivery system.	顾问提出了一个效率更高的配送系统。
administrator	n.	管理人员	教育与学习	The administrator coordinates support services for international students.	管理人员协调面向国际学生的支持服务。
historic	adj.	有历史意义的	文化与交流	The town protects its historic buildings through careful planning.	该镇通过细致规划保护具有历史意义的建筑。
enterprise	n.	企业；事业	经济与工作	The social enterprise reinvests its profits in community projects.	这家社会企业将利润重新投入社区项目。
apparent	adj.	明显的；表面上的	学术与论证	The apparent improvement may reflect a change in measurement.	表面上的改善可能反映了测量方法的变化。
aggressive	adj.	激进的；有攻击性的	经济与工作	Aggressive marketing can encourage unnecessary consumption.	激进的营销可能鼓励不必要的消费。
protein	n.	蛋白质	健康与生活	Beans provide an affordable source of protein.	豆类提供了一种价格可负担的蛋白质来源。
historian	n.	历史学家	文化与交流	The historian compared written records with archaeological evidence.	历史学家将书面记录与考古证据进行了比较。
restore	v.	恢复；修复	环境与能源	Local volunteers helped restore the damaged wetland.	当地志愿者帮助修复了受损湿地。
origin	n.	起源；来源	文化与交流	The museum explains the origin of local farming traditions.	博物馆解释了当地农业传统的起源。
biological	adj.	生物的	科技与研究	Biological processes can help remove pollutants from water.	生物过程可以帮助清除水中的污染物。
assure	v.	向……保证	社会与政策	Officials must assure residents that their concerns are being heard.	官员必须向居民保证他们的担忧正得到倾听。
utility	n.	公用事业；效用	城市与交通	The utility company is upgrading the water supply network.	公用事业公司正在升级供水网络。
arise	v.	出现；产生	学术与论证	Conflicts can arise when responsibilities are not clearly defined.	责任界定不清时可能产生冲突。
stake	n.	利害关系；股份	经济与工作	Residents have a stake in the success of local businesses.	当地企业的成功与居民有利害关系。
refugee	n.	难民	社会与政策	The programme helps each refugee access language classes and employment advice.	该项目帮助每位难民获得语言课程和就业建议。
incorporate	v.	纳入；包含	教育与学习	The course will incorporate feedback from former students.	该课程将纳入往届学生的反馈。
assumption	n.	假设	学术与论证	The model relies on an assumption of stable demand.	该模型依赖于需求稳定的假设。
barrier	n.	障碍	社会与政策	High transport costs can be a barrier to employment.	高昂的交通费用可能成为就业障碍。
assign	v.	分配；指派	经济与工作	Managers should assign tasks according to skills and experience.	管理者应根据技能和经验分配任务。
provision	n.	提供；条款	社会与政策	The provision of affordable childcare supports working parents.	提供价格可负担的托育服务支持了在职父母。
universal	adj.	普遍的；通用的	社会与政策	Universal access to clean water remains an important goal.	人人都能获得清洁用水仍是一个重要目标。
testimony	n.	证词；证据	社会与政策	The inquiry considered testimony from residents and independent experts.	调查考虑了居民和独立专家的证词。
mechanism	n.	机制	学术与论证	The study examines the mechanism behind this change.	该研究考察了这一变化背后的机制。
penalty	n.	处罚；罚款	社会与政策	A financial penalty may discourage illegal waste dumping.	经济处罚可能遏制非法倾倒废物。
infection	n.	感染	健康与生活	Good hygiene can reduce the risk of infection.	良好的卫生习惯可以降低感染风险。
strategic	adj.	战略性的	经济与工作	Strategic investment can strengthen a region's long-term competitiveness.	战略性投资可以增强地区的长期竞争力。
dispute	n.	争议；纠纷	社会与政策	Mediation helped resolve the dispute over land use.	调解帮助解决了土地使用纠纷。
statistics	n.	统计学；统计数据	学术与论证	Official statistics show a gradual improvement in employment.	官方统计数据显示就业情况逐渐改善。
occupy	v.	占据	城市与交通	Green spaces occupy a small proportion of the city.	绿地占据了该城市的一小部分面积。
accurate	adj.	准确的	学术与论证	Accurate measurements are essential for a reliable comparison.	准确的测量对于可靠的比较至关重要。
expansion	n.	扩张；扩大	城市与交通	The expansion of the airport has increased local traffic.	机场扩建增加了当地交通流量。
